,tp,tn,fp,fn,acc,bal_acc,sens,spec,fnr,fpr,fmeas,mse,youden,mcc,auc,hamming,cohen_kappa,gmean
1024.0_0.01_0.0_0.5_2.0,76,965,54,63,0.8989637306,0.7468847297,0.5467625899,0.9470068695,0.4532374101,0.0529931305,0.5650557621,0.1010362694,0.4937694594,0.5083355504,0.8770765527,0.1010362694,0.507971325,0.7195748249
2048.0_0.01_0.0_0.2_3.0,105,922,57,49,0.9064430715,0.8117977528,0.6818181818,0.9417773238,0.3181818182,0.0582226762,0.664556962,0.0935569285,0.6235955056,0.6105026601,0.9076714909,0.0935569285,0.6102384692,0.8013244677
1024.0_0.01_0.2_0.2_4.0,106,928,58,61,0.8967909801,0.7879535048,0.6347305389,0.9411764706,0.3652694611,0.0588235294,0.6404833837,0.1032090199,0.5759070095,0.5802684897,0.9099913763,0.1032090199,0.5802359981,0.7729123161
512.0_0.01_0.2_0.2_4.0,121,927,56,55,0.9042277826,0.8152657681,0.6875,0.9430315361,0.3125,0.0569684639,0.6855524079,0.0957722174,0.6305315361,0.6290679056,0.9222059096,0.0957722174,0.6290643931,0.805192015
256.0_0.1_0.2_0.5_2.0,124,904,59,67,0.8908145581,0.7939738927,0.6492146597,0.9387331256,0.3507853403,0.0612668744,0.6631016043,0.1091854419,0.5879477853,0.5981821181,0.9190248623,0.1091854419,0.5979872266,0.780665938
SUM,106.4,929.2,56.8,59,0.8994480245,0.7911751296,0.6400051941,0.9423450651,0.3599948059,0.0576549349,0.643750024,0.1005519755,0.5823502592,0.5852713448,0.9071940384,0.1005519755,0.5850994824,0.7759339124
SSTDDEV,19.0341797827,22.2193609269,1.9235384062,7.0710678119,0.0061969335,0.0273198779,0.0565926276,0.0030388202,0.0565926276,0.0030388202,0.0467929199,0.0061969335,0.0546397558,0.0465445783,0.0178916229,0.0061969335,0.0466459594,0.0343095676
